0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251
0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,2,0,2,1,1,2,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,2,0,0,0,1,0,1,1,1,0,1,0,2,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,2,1,1,1,2,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
0,214,248,245,272,252,242,241,240,226,206,187,184,189,191,185,165,182,134,149,133,141,146,138,144,150,130,134,137,142,127,129,131,145,134,126,119,142,114,115,89,112,146,120,106,100,108,127,134,145,138,141,151,157,141,139,133,128,140,145,147,115,123,143,159,153,150,174,173,188,189,182,186,188,177,156,154,197,184,135,148,128,133,151,130,115,109,129,122,111,116,148,141,151,159,122,139,134,163,161,172,173,194,199,206,218,218,192,190,169,159,144,127,160,160,140,131,129,143,143,112,130,142,144,136,147,138,134,146,145,145,148,138,161,161,142,145,173,193,202,173,145,127,129,137,137,137,142,181,177,158,131,163,175,177,182,183,182,152,163,155,166,160,150,145,166,151,128,159,173,187,199,192,151,146,137,121,99,104,125,146,145,166,191,167,171,176,164,166,182,181,188,188,187,185,189,218,202,201,196,201,178,184,200,189,194,198,211,192,180,168,147,179,184,172,163,156,147,160,128,141,125,138,152,165,169,155,152,163,181,159,136,157,159,152,166,158,163,173,144,136,135,137,152,132,158,190,190,174,190,176,184
0,557,769,689,539,407,249,127,31,4,2,1,4,2,1,3,3,5,5,2,4,4,4,5,3,6,2,4,4,5,8,2,11,4,4,11,6,4,3,4,5,3,8,4,4,3,1,1,9,4,0,4,1,3,8,1,4,5,4,3,4,5,4,11,6,4,5,5,4,2,3,5,7,15,22,10,5,13,14,4,5,9,10,5,11,7,4,4,7,2,5,5,9,2,2,3,4,1,4,6,4,5,4,4,0,2,6,2,4,5,1,0,3,3,6,4,3,2,4,6,6,3,5,4,4,4,5,2,1,7,5,1,4,3,5,2,2,4,0,0,5,1,4,9,1,2,6,1,4,3,2,5,6,3,3,6,3,6,3,1,4,3,3,1,2,6,2,4,7,3,3,6,4,0,7,6,2,2,3,10,11,3,3,4,2,6,6,5,7,4,5,10,4,5,6,5,4,2,5,3,3,1,8,4,3,4,4,3,5,1,1,7,3,6,6,2,4,8,2,2,6,1,2,8,3,3,4,3,6,6,3,5,4,3,4,3,4,7,4,3,4,9,6,4,2,10,9,4,6,6,2,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,200,105,10,2,0,0,1,1,1,1,2,2,1,2,1,2,1,0,1,2,1,1,3,3,0,2,2,0,2,4,5,3,0,6,1,3,0,1,5,0,0,1,1,2,1,0,0,1,6,3,3,3,3,3,0,0,2,2,1,2,3,4,1,2,2,0,1,0,1,2,1,3,3,2,1,1,2,1,1,0,2,3,1,5,0,2,3,3,4,2,0,2,2,3,2,0,0,3,2,5,2,3,3,2,2,1,4,3,3,2,0,0,3,0,1,4,1,0,1,2,2,4,3,2,1,1,0,4,2,3,1,2,5,2,2,1,0,2,2,2,1,3,3,4,4,0,2,1,7,3,1,2,2,5,1,3,1,1,2,1,2,0,1,1,2,0,1,0,0,1,2,1,2,0,2,1,3,0,2,2,1,2,5,0,0,1,2,5,1,1,0,1,4,1,4,1,1,4,1,2,2,5,3,2,1,1,2,1,1,0,1,3,1,3,5,1,4,2,1,2,6,1,2,3,5,3,3,3,0,1,1,0,1,1,1,4,3,1,2,2,0,6,0,1,1,4,4,1,0,3,4
0,456,661,642,600,531,447,360,310,244,151,81,46,22,15,5,8,7,3,6,1,9,12,3,6,7,5,6,12,18,50,55,37,20,19,24,18,29,11,4,9,18,24,47,44,36,28,11,9,5,6,5,12,9,2,7,9,19,8,38,50,43,34,13,23,10,6,1,2,6,6,3,8,5,3,20,41,44,28,17,13,8,11,9,9,7,12,22,25,6,5,4,3,3,3,3,46,93,124,113,111,76,57,45,26,18,11,11,13,4,9,20,55,71,89,96,75,63,42,24,26,12,9,2,4,1,1,2,5,6,5,8,8,17,9,6,10,8,4,2,24,32,25,41,70,78,50,21,11,9,5,5,5,2,7,19,20,6,3,6,4,2,0,4,8,4,7,22,12,7,9,17,16,9,14,22,29,22,6,9,3,17,38,17,21,19,9,8,5,7,4,3,9,7,5,12,11,9,5,6,13,19,24,9,17,19,31,43,56,73,96,119,100,82,93,100,114,123,101,61,48,63,55,53,35,31,29,38,25,15,8,11,1,4,6,5,10,12,13,4,4,4,15,31,28,57,57,39,31,53,46,46
0,7,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,2,0,0,1,1,1,0,0,1,2,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,2,1,0,0,0,1,1,1,1,0,0,0,0,1,2,0,1,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,2,2,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0,1,0
0,8,0,0,1,1,0,0,2,1,1,0,0,0,0,2,3,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,2,0,1,1,0,0,1,0,2,1,1,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,1,2,0,0,1,0,0,0,1,2,1,0,0,0,1,2,0,0,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,2,1,2,0,2,1,0,0,0,0,1,0,1,2,0,1,1,1,1,0,0,2,0,0,0,0,0,2,1,0,1,1,0,0,1,2,0,0,0,1,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0
0,23,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,2,2,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,1,1,2,0,0,1,1,1,2,0,1,0,1,2,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,0,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,1,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,1,0
