0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,121,123,116,125,133,133,115,97,106,108,105,91,97,100,95,88,86,94,89,79,83,80,74,65,59,64,79,76,74,74,76,81,75,73,72,69,68,84,84,81,79,94,91,94,89,90,81,89,96,94,79,79,78,79,69,71,65,55,75,97,89,111,103,87,68,67,68,62,60,50,60,55,66,66,58,49,40,47,45,44,50,42,56,53,57,54,61,81,76,74,79,75,81,90,95,105,103,101,107,113,113,99,103,96,96,87,82,92,81,91,92,83,83,85,74,77,98,91,91,74,73,65,68,66,71,74,73,83,58,68,62,51,37,39,36,44,46,40,37,42,41,38,31,45,47,68,77,93,102,83,73,74,63,71,65,74,84,82,86,103,91,111,116,102,85,81,82,69,64,55,75,91,90,83,76,92,102,83,68,75,86,85,78,51,51,61,67,68,56,63,62,66,78,83,77,73,78,74,73,69,83,84,75,80,85,70,72,77,70,73,72,84,89,88,92,93,99,108,107,91,106,104,105,92,76,70,83,79,69,79,75,75,87,68,55,60,64,62,76,80,89,77,75,74,80,70,76,74,85,88,78
0,578,794,750,683,603,509,422,357,287,204,143,79,36,7,3,3,4,6,2,4,4,4,6,2,6,5,7,2,5,9,11,6,3,9,9,12,12,24,20,16,5,6,7,11,15,10,5,4,5,8,6,4,4,4,3,3,6,3,5,11,7,6,12,14,4,6,5,6,5,4,6,8,4,2,5,17,19,11,4,10,5,4,10,9,8,2,3,5,7,2,6,14,6,10,5,6,5,5,6,5,15,14,16,24,16,4,9,5,11,6,12,9,20,24,36,38,21,19,18,12,17,20,13,14,13,9,10,8,21,36,25,19,24,50,43,19,8,5,17,16,20,13,11,13,5,3,16,15,15,21,10,12,16,11,6,16,43,49,34,21,12,9,2,10,4,6,7,7,7,12,8,8,7,19,38,45,45,24,11,4,4,7,6,11,8,11,14,39,51,46,61,49,34,25,12,5,3,3,2,2,2,3,2,4,6,4,13,14,6,8,4,10,17,22,16,6,31,86,110,115,116,96,87,65,73,75,64,57,57,50,35,30,38,21,25,33,29,24,11,20,6,9,2,5,6,10,8,5,6,8,6
0,18,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,2,0,0,1,0,1,0,1,3,0,1,2,0,0,1,0,0,2,2,2,0,0,0,2,0,0,1,1,0,0,0,0,1,0,2,0,0,1,1,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,0,1,0,2,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,1,0,2,0,1,2,0,0,0,0,2,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,2,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0
0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,2,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,2,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0
0,95,0,0,0,0,0,1,4,1,1,1,0,3,0,1,0,0,0,0,1,1,1,1,0,0,0,2,2,2,2,3,4,0,1,0,3,1,0,4,0,0,0,2,0,0,0,3,1,1,1,0,0,4,1,1,2,2,3,1,4,1,0,2,0,2,0,1,0,1,1,2,2,1,1,1,1,0,1,2,2,1,2,1,0,2,0,1,1,3,1,1,1,1,3,1,2,1,1,2,2,2,0,1,1,1,1,1,1,2,2,0,3,1,5,1,0,1,0,1,3,1,2,1,2,2,0,2,0,0,0,0,0,1,3,3,1,1,1,2,2,1,1,0,0,2,4,2,0,2,1,0,1,0,1,1,0,0,1,3,0,3,0,0,2,1,2,0,0,1,1,1,2,2,1,2,2,1,1,1,1,1,3,6,2,1,0,2,4,0,4,1,1,0,2,1,3,1,0,1,5,0,1,1,0,2,0,2,0,2,2,1,1,1,1,1,2,0,1,2,2,0,0,2,2,1,1,2,0,1,4,2,0,1,1,1,2,1,1,2,0,0,0,0,2,0,0,3,0,0,1,0
0,1051,1179,1132,1092,1053,1010,956,916,881,841,811,783,744,714,687,662,636,607,585,553,526,513,477,481,463,461,457,449,440,440,446,451,450,457,451,435,447,432,435,427,417,422,429,416,401,397,407,437,449,442,409,404,392,399,408,409,402,417,430,434,427,419,429,431,442,426,445,443,451,439,449,440,435,443,459,449,435,419,441,446,434,431,435,423,442,442,424,438,435,435,441,430,420,429,413,409,435,425,427,418,442,454,439,445,447,444,443,437,427,427,424,414,430,432,437,435,425,419,421,418,433,446,440,456,448,451,455,458,454,449,447,440,428,443,445,461,455,443,445,443,433,448,464,458,456,461,464,446,439,412,411,424,428,427,435,449,442,436,430,425,437,430,422,427,419,415,426,417,401,402,401,412,405,420,421,413,412,406,395,394,386,392,389,401,405,408,395,408,402,417,418,407,410,424,426,428,436,433,431,424,430,428,425,441,455,457,463,469,473,482,487,488,477,477,467,450,450,445,427,437,432,439,434,440,412,415,408,407,423,432,424,412,415,424,432,448,432,430,432,412,411,409,413,421,442,433,418,418,411,405,423
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,70,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,1,0,3,0,1,0,0,0,1,4,1,1,0,1,0,0,1,0,1,3,3,0,0,0,2,0,0,0,4,0,2,0,0,0,1,0,0,4,4,2,0,1,1,0,1,4,0,1,0,1,0,0,2,2,0,1,3,1,0,3,0,1,0,1,0,0,3,0,2,1,0,0,0,1,1,3,0,0,3,3,2,0,1,2,1,1,2,1,0,0,2,0,1,0,1,0,0,1,1,1,2,1,0,1,2,0,1,2,2,0,0,0,1,1,2,0,3,0,3,0,1,0,2,2,3,3,1,0,0,1,0,0,0,0,0,1,0,2,4,1,1,1,0,0,2,1,1,0,3,0,0,1,0,0,2,3,0,2,2,2,1,0,2,2,0,1,0,0,2,1,2,0,0,0,4,3,2,2,2,0,0,3,0,1,0,2,1,0,0,0,1,2,3,2,1,0,1,0,0,1,0,0,0,0,1,2,0,1,2,0,3,3,0,0,2,0,2,0,2,3,2,0,2,0,0,3,0,0,2
0,78,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,2,1,1,2,2,0,3,1,2,2,3,2,1,0,3,1,1,0,0,0,1,0,0,0,0,2,1,1,2,0,0,2,0,2,0,0,0,0,1,3,2,3,3,0,1,1,1,1,2,4,1,2,1,0,1,0,1,1,1,0,0,0,1,1,1,3,0,2,0,0,1,1,1,0,1,0,2,0,1,2,0,2,2,0,0,1,1,1,1,0,0,1,2,3,4,0,2,3,1,1,1,1,1,0,0,1,1,0,1,2,0,2,0,1,0,0,2,2,2,1,0,0,1,0,0,1,2,2,1,0,2,1,1,0,0,0,0,2,1,2,1,0,1,1,4,3,1,0,1,2,2,1,2,1,0,3,1,3,1,1,1,0,0,1,0,1,1,0,1,0,0,3,0,0,3,1,0,0,0,1,0,1,2,2,3,0,2,0,1,1,0,2,0,2,1,1,0,1,1,0,1,2,1,3,0,0,0,1,2,0,1,0,0,2,0,2,2,1,1,0,0,2,2,0,1,2,0,0,1,0,4,3,0,2,2
